Frase,Sentimento
Eu te amo tanto!,felicidade
A vida é bela!,felicidade
Eu te amo tanto!,felicidade
A alegria está em meu coração!,felicidade
Estou muito feliz!,felicidade
Estou radiante de alegria!,felicidade
A vida é incrível!,felicidade
Estou grato por tudo!,felicidade
Estou radiante de felicidade!,felicidade
Não há nada melhor do que isso!,felicidade
Eu te amo tanto!,felicidade
Estou radiante de alegria!,felicidade
Estou me sentindo ótimo!,felicidade
Que sorte a minha!,felicidade
Não há nada melhor do que isso!,felicidade
Estou grato por tudo!,felicidade
Estou radiante de felicidade!,felicidade
Estou muito feliz!,felicidade
Hoje é um dia perfeito!,felicidade
Que sorte a minha!,felicidade
Estou super animado!,felicidade
Gosto da minha avó,felicidade
Gosto da minha avó,felicidade
A vida é cheia de surpresas boas!,felicidade
Eu não poderia estar mais feliz!,felicidade
A alegria está em meu coração!,felicidade
Gosto da minha avó,felicidade
Estou muito animado para o futuro!,felicidade
Não há nada melhor do que isso!,felicidade
Estou muito feliz!,felicidade
Estou super animado!,felicidade
A vida é incrível!,felicidade
Que notícia maravilhosa!,felicidade
Não há nada melhor do que isso!,felicidade
Estou vivendo um sonho!,felicidade
Estou no topo do mundo!,felicidade
A vida é cheia de surpresas boas!,felicidade
Estou grato por tudo!,felicidade
Estou cheio de esperança!,felicidade
Hoje é um dia perfeito!,felicidade
Que alegria estar aqui!,felicidade
Que alegria estar aqui!,felicidade
Estou radiante de felicidade!,felicidade
A vida é cheia de surpresas boas!,felicidade
Estou feliz por estar aqui!,felicidade
Eu te amo tanto!,felicidade
amo você!,felicidade
Estou muito contente com o resultado!,felicidade
Estou muito contente com o resultado!,felicidade
Estou em êxtase!,felicidade
Estou radiante de felicidade!,felicidade
Estou grato por tudo!,felicidade
Hoje é um dia perfeito!,felicidade
Eu não poderia estar mais feliz!,felicidade
Estou em êxtase!,felicidade
Que sorte a minha!,felicidade
Que notícia maravilhosa!,felicidade
Que notícia maravilhosa!,felicidade
Estou tão feliz hoje!,felicidade
Estou super animado!,felicidade
Estou grato por tudo!,felicidade
Gosto da minha avó,felicidade
Estou radiante de felicidade!,felicidade
Estou cheio de esperança!,felicidade
Estou me sentindo ótimo!,felicidade
Estou radiante de felicidade!,felicidade
Eu não poderia estar mais feliz!,felicidade
Estou no topo do mundo!,felicidade
Eu não poderia estar mais feliz!,felicidade
Estou muito feliz!,felicidade
Estou vivendo um sonho!,felicidade
Estou sorrindo de orelha a orelha!,felicidade
A vida é cheia de surpresas boas!,felicidade
Estou sorrindo de orelha a orelha!,felicidade
A alegria está em meu coração!,felicidade
Estou radiante de alegria!,felicidade
Estou feliz por estar aqui!,felicidade
Gosto da minha avó,felicidade
